ID_Prot;Organism
Q9VB62;Drosophila
Q9NDM2;Drosophila
Q9U616;Drosophila
Q9VFE6;Drosophila
Q9VFE4;Drosophila
Q9VH20;Drosophila
Q9VMS7;Drosophila
P23696;Drosophila
Q9VVA0;Drosophila
Q8SXD4;Drosophila
Q9VAS7;Drosophila
Q9VMS8;Drosophila
Q9VMS9;Drosophila
Q9VVA8;Drosophila
P80455;Drosophila
Q9VFK6;Drosophila
Q9VFK3;Drosophila
Q9VG73;Drosophila
Q9VG74;Drosophila
Q9VG76;Drosophila
Q7JYV2;Drosophila
Q7JYV7;Drosophila
Q9VTG7;Drosophila
P48555;Drosophila
Q24573;Drosophila
B7Z031;Drosophila
P81928;Drosophila
Q24570;Drosophila
Q24574;Drosophila
P81922;Drosophila
P81923;Drosophila
P16425;Drosophila
P16424;Drosophila
P16423;Drosophila
P81924;Drosophila
A2VEI2;Drosophila
Q9VCU9;Drosophila
Q9VCZ8;Drosophila
Q9VCU7;Drosophila
Q9VCU5;Drosophila
Q9W3Y0;Drosophila
Q9VA73;Drosophila
Q9VA70;Drosophila
P48809;Drosophila
P02283;Drosophila
Q9VXK0;Drosophila
Q0E9B6;Drosophila
Q9VUQ5;Drosophila
P21663;Drosophila
Q94900;Drosophila
Q27237;Drosophila
Q9VUQ8;Drosophila
Q9Y103;Drosophila
Q9Y106;Drosophila
Q9VX25;Drosophila
Q9Y105;Drosophila
P02574;Drosophila
P48423;Drosophila
P02572;Drosophila
A4VCL2;Drosophila
P56544;Drosophila
Q01819;Drosophila
Q7YZA2;Drosophila
P52029;Drosophila
P29052;Drosophila
Q7K0S9;Drosophila
P13002;Drosophila
P56721;Drosophila
Q9V813;Drosophila
Q9VC99;Drosophila
P31396;Drosophila
Q9W436;Drosophila
P29503;Drosophila
P13008;Drosophila
Q9VE50;Drosophila
Q9VE51;Drosophila
P18487;Drosophila
P18486;Drosophila
P31009;Drosophila
P31007;Drosophila
P18489;Drosophila
P09491;Drosophila
Q7JZV0;Drosophila
P54185;Drosophila
Q9V9S8;Drosophila
Q7JXV9;Drosophila
Q9W5B6;Drosophila
Q9VE87;Drosophila
P55965;Drosophila
Q02361;Drosophila
P11996;Drosophila
P11997;Drosophila
P11995;Drosophila
Q9VD83;Drosophila
P03896;Drosophila
P45890;Drosophila
P45891;Drosophila
Q9VYF2;Drosophila
P26308;Drosophila
Q9V8F5;Drosophila
Q9NJH0;Drosophila
Q9V3R8;Drosophila
Q9VPK7;Drosophila
Q9V3R6;Drosophila
P08630;Drosophila
Q9V3R1;Drosophila
Q8SWV6;Drosophila
O76454;Drosophila
Q9U3V5;Drosophila
Q24368;Drosophila
Q86BY9;Drosophila
Q9U3V8;Drosophila
Q9U3V9;Drosophila
Q9VCG4;Drosophila
Q9W4V8;Drosophila
Q01583;Drosophila
P43332;Drosophila
Q9V589;Drosophila
P05389;Drosophila
Q9VJJ7;Drosophila
O46203;Drosophila
O46202;Drosophila
O46201;Drosophila
O46200;Drosophila
Q9VW51;Drosophila
Q9VLJ6;Drosophila
Q9V9Z9;Drosophila
Q9VSA3;Drosophila
Q9U9Q4;Drosophila
P14003;Drosophila
Q9VLJ8;Drosophila
Q8IMP6;Drosophila
P52485;Drosophila
Q9VWL5;Drosophila
P04282;Drosophila
P52486;Drosophila
Q9NFP5;Drosophila
P20009;Drosophila
Q9VD09;Drosophila
O16867;Drosophila
Q9NHD5;Drosophila
P18490;Drosophila
O16868;Drosophila
P24014;Drosophila
A1Z9R4;Drosophila
P42003;Drosophila
P54399;Drosophila
P54398;Drosophila
Q09024;Drosophila
Q9VLT8;Drosophila
Q9V6X7;Drosophila
Q9VGH1;Drosophila
Q07171;Drosophila
P54397;Drosophila
Q02910;Drosophila
Q9VGH7;Drosophila
Q9VLT1;Drosophila
Q9VK68;Drosophila
Q27934;Drosophila
Q9VM65;Drosophila
Q9VM64;Drosophila
Q9VKQ9;Drosophila
Q9VM60;Drosophila
P04755;Drosophila
P55035;Drosophila
Q9VS97;Drosophila
Q9NFU0;Drosophila
Q24120;Drosophila
Q9V3D2;Drosophila
Q9V3D5;Drosophila
Q9V3D4;Drosophila
Q9V3D6;Drosophila
Q9VMD6;Drosophila
P41375;Drosophila
P41374;Drosophila
Q9VMD9;Drosophila
Q99323;Drosophila
A1Z7A8;Drosophila
A1Z7A6;Drosophila
Q7JQ32;Drosophila
Q9V564;Drosophila
Q9VW60;Drosophila
Q9VHD2;Drosophila
Q7JRJ1;Drosophila
Q6IDD9;Drosophila
Q9V8F3;Drosophila
Q59DY5;Drosophila
Q59DY6;Drosophila
Q27593;Drosophila
Q95083;Drosophila
A1ZBY1;Drosophila
Q27597;Drosophila
Q8IN81;Drosophila
Q9VQC4;Drosophila
Q9VL92;Drosophila
P10383;Drosophila
Q9VL96;Drosophila
Q9VHV5;Drosophila
Q95SP2;Drosophila
P20825;Drosophila
P33438;Drosophila
P20828;Drosophila
P20829;Drosophila
Q9VCB1;Drosophila
Q9VEZ3;Drosophila
Q9W352;Drosophila
Q9VEZ5;Drosophila
P23757;Drosophila
Q9U915;Drosophila
Q9W358;Drosophila
P82910;Drosophila
Q24168;Drosophila
Q9VT90;Drosophila
Q9VGZ1;Drosophila
Q9VT92;Drosophila
P14599;Drosophila
Q02280;Drosophila
P12982;Drosophila
Q9VGZ8;Drosophila
Q24167;Drosophila
Q8INM9;Drosophila
Q9VQ62;Drosophila
Q9VQ66;Drosophila
Q8INM3;Drosophila
Q9V877;Drosophila
Q9VK89;Drosophila
A0A0B4K753;Drosophila
Q7KN62;Drosophila
Q9VWR8;Drosophila
P17210;Drosophila
P47825;Drosophila
Q9VWR2;Drosophila
Q9VWR5;Drosophila
Q9VZW8;Drosophila
Q9VYG2;Drosophila
P19538;Drosophila
Q9W1G0;Drosophila
Q9VTV1;Drosophila
P38979;Drosophila
Q9VKJ9;Drosophila
Q9VKJ7;Drosophila
O96539;Drosophila
Q9VKJ3;Drosophila
Q9VKJ1;Drosophila
Q9VKJ0;Drosophila
Q9VVF3;Drosophila
Q9N2P6;Drosophila
O97125;Drosophila
Q9VH39;Drosophila
Q9VH38;Drosophila
Q9VH36;Drosophila
Q9XY35;Drosophila
P15278;Drosophila
Q03427;Drosophila
Q9VFH6;Drosophila
O77150;Drosophila
Q9W1K5;Drosophila
Q27331;Drosophila
Q27333;Drosophila
P20480;Drosophila
P20482;Drosophila
P20483;Drosophila
P10674;Drosophila
P10676;Drosophila
Q7KRI2;Drosophila
P21330;Drosophila
Q9VEU1;Drosophila
Q9VGR7;Drosophila
Q24583;Drosophila
P13582;Drosophila
Q7K4H4;Drosophila
Q9VXA0;Drosophila
P22978;Drosophila
P08155;Drosophila
P22977;Drosophila
Q9VXA8;Drosophila
P12297;Drosophila
P02299;Drosophila
Q4V4I9;Drosophila
P83548;Drosophila
Q9V726;Drosophila
P06602;Drosophila
P06603;Drosophila
Q9Y0Y6;Drosophila
P06601;Drosophila
P06606;Drosophila
P06607;Drosophila
P06604;Drosophila
P06605;Drosophila
Q9VEK6;Drosophila
P23803;Drosophila
Q9W3I5;Drosophila
Q9Y113;Drosophila
Q9Y115;Drosophila
Q9VBP9;Drosophila
Q9VX39;Drosophila
Q8IQ27;Drosophila
Q9VW15;Drosophila
Q9VX32;Drosophila
Q9VX31;Drosophila
P37276;Drosophila
Q01820;Drosophila
Q9W1U6;Drosophila
Q9W1U5;Drosophila
Q9W1U4;Drosophila
Q9W2N0;Drosophila
Q9XZ58;Drosophila
Q8MSF5;Drosophila
Q07436;Drosophila
Q9VDL1;Drosophila
P83098;Drosophila
P83099;Drosophila
Q9W429;Drosophila
O76511;Drosophila
P35004;Drosophila
P35005;Drosophila
P23023;Drosophila
O01939;Drosophila
Q9W420;Drosophila
P83094;Drosophila
Q9W1Y1;Drosophila
Q9VUN3;Drosophila
P83097;Drosophila
Q8WTC1;Drosophila
Q9VE46;Drosophila
Q9VWN5;Drosophila
P18475;Drosophila
Q8INQ7;Drosophila
Q9VRB3;Drosophila
P39736;Drosophila
Q9I7M2;Drosophila
P16621;Drosophila
P16620;Drosophila
Q86BN8;Drosophila
Q7KVS9;Drosophila
Q9VD92;Drosophila
Q9U6M0;Drosophila
P45889;Drosophila
P45888;Drosophila
Q9VNB3;Drosophila
P52034;Drosophila
Q9V3U9;Drosophila
P25823;Drosophila
P25822;Drosophila
Q9V3U2;Drosophila
Q9VPL3;Drosophila
Q9V3U0;Drosophila
Q9V407;Drosophila
P92189;Drosophila
P53034;Drosophila
O61734;Drosophila
P00850;Drosophila
Q9U3W6;Drosophila
O76464;Drosophila
Q9VRP9;Drosophila
Q9GYU8;Drosophila
Q9GYU7;Drosophila
Q9VRP5;Drosophila
O46098;Drosophila
P55824;Drosophila
P00522;Drosophila
Q8IMA8;Drosophila
P00528;Drosophila
P29993;Drosophila
P17917;Drosophila
P25153;Drosophila
P55828;Drosophila
Q8SY33;Drosophila
P35820;Drosophila
P08736;Drosophila
Q27580;Drosophila
P29681;Drosophila
P32845;Drosophila
Q9VG08;Drosophila
P28159;Drosophila
P08510;Drosophila
P08044;Drosophila
Q9VJ38;Drosophila
Q9VJK8;Drosophila
Q9VCE8;Drosophila
Q9V778;Drosophila
Q9VLK2;Drosophila
Q7JVA5;Drosophila
O01367;Drosophila
P18053;Drosophila
